Year,MAP,ADDRESS,ZIP,OWNER,ASSMT,EXEMPT,TAXES
2022,TAX_MAP,FORMATTED_ADDRESS,ZIP_POSTAL,COMPANY,TOTAL_ASSMT,TOTAL_EXEMPT,TOTAL_TAXES
2021,TAX_MAP,FORMATTED_ADDRESS,ZIP_POSTAL,OWNER_COMPANY,TOTAL ASSESSMENT,TOTAL EXEMPTION,TOTAL TAXES
2020,TAX_MAP,FORMATTED_ADDRESS,ZIP_POSTAL,OWNER COMPANY,TOTAL ASSESSMENT,TOTAL EXEMPTION,TOTAL TAXES
2019,Plat-Lot-Unit,Formatted Address,Location Zip,Owner Company,Total Assessment,Total Exemption,Total Taxes
2018,Plat-Lot-Unit,Formatted Address,Location Zip,Owner Company,Total Assessment,Total Exemption,Total Taxes
2017,Plat-Lot-Unit,Formatted Address,Location Zip,Owner Company,Total Assessment,Total Exemption,Total Taxes
2016,Plat-Lot-Unit,Formatted_Address,Location_Zip,Company,Total_Assessment,Total_Exemptions,Total_Taxes
2015,Plat-Lot-Unit,Formatted_Address,Location_Zip,Company,Total_Assessment,Total_Exemptions,Total_Taxes
2014,Plat-Lot-Unit,FormattedAddress,Location_Zip,Company,Total_Assessment,Total_Exemptions,Total_Taxes
2013,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2012,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2011,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2010,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2009,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2008,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2007,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2006,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2005,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2004,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2003,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes
2002,Plat-Lot-Unit,Formatted Address,Location Zip,Owner,Total Assessment,Total Exemption,Total Taxes